ref_produit,couleur,designation,unite,prix_ht,date_maj,source
18054,,PARMUREX / 25 Kg,SAC,5.12,2026-04-23,PAREX 2026 - 13/02/2026
18127,,PARMUBRIK / 25 Kg,SAC,6.95,2026-04-23,PAREX 2026 - 13/02/2026
18080,,MONOGRIS E / 25 Kg,SAC,6.2,2026-04-23,PAREX 2026 - 13/02/2026
18055,,TRADIREX / 25 Kg,SAC,5.12,2026-04-23,PAREX 2026 - 13/02/2026
18062,,MONODECOR GT P1 / 25 Kg,SAC,6.24,2026-04-23,PAREX 2026 - 13/02/2026
18071,,MONODECOR TL / 25 Kg,SAC,6.24,2026-04-23,PAREX 2026 - 13/02/2026
18060,,MONODECOR GM P1 / 25 Kg,SAC,6.24,2026-04-23,PAREX 2026 - 13/02/2026
18070,,BLANC DU LITTORAL / 25 Kg,SAC,6.24,2026-04-23,PAREX 2026 - 13/02/2026
17149,,MONOREX GF P1 / 25 Kg,SAC,7.1,2026-04-23,PAREX 2026 - 13/02/2026
18082,,MONOREX GM P1 / 25 Kg,SAC,7.1,2026-04-23,PAREX 2026 - 13/02/2026
16099,,MONOBLANCO / 25 Kg,SAC,7.1,2026-04-23,PAREX 2026 - 13/02/2026
17375,,PARLUMIERE FIN / 25 Kg,SAC,11.8,2026-04-23,PAREX 2026 - 13/02/2026
17376,,PARLUMIERE MOYEN / 25 Kg,SAC,11.8,2026-04-23,PAREX 2026 - 13/02/2026
18056,,PARINTER RENOVATION / 25 Kg,SAC,25.61,2026-04-23,PAREX 2026 - 13/02/2026
17391,,MAITE MONOCOMPOSANT / 25 Kg,SAC,22.96,2026-04-23,PAREX 2026 - 13/02/2026
23067,,FACITE BLANC / 25 Kg,SAC,14.75,2026-04-23,PAREX 2026 - 13/02/2026
20351,,COLLE CALISO / 25 Kg,SAC,14.75,2026-04-23,PAREX 2026 - 13/02/2026
3660,,GRILLE VERRE R131 4X4 CSTB 50X1.10M,RLX,36.5,2026-04-23,PAREX 2026 - 13/02/2026
9908800,,Eco-Contribution REP0.88,PCE,0.88,2026-04-23,PAREX 2026 - 13/02/2026
9829,,REVLANE + REGULATEUR / 20 Kg,SEA,58.0,2026-04-23,PAREX 2026 - 13/02/2026
19705,,REVLANE SILOXANE TG 1.6 P1 / 25 Kg,SEA,42.75,2026-04-23,PAREX 2026 - 13/02/2026
18577,,RAIL DE DEPART GE LO10/143 / 2.50 M,ML,8.4,2026-04-23,PAREX 2026 - 13/02/2026
18576,,RAIL DE DEPART GE LO10/123 / 2.50 M,ML,6.5,2026-04-23,PAREX 2026 - 13/02/2026
9431,,PSE BD GRIS Th31 Ep.140 (2.16),M²,12.6,2026-04-23,PAREX 2026 - 13/02/2026
9901426,,Eco-Contribution REP0.1426,PCE,0.14,2026-04-23,PAREX 2026 - 13/02/2026
9430,,PSE BD GRIS Th31 Ep.120 (2.88),M²,10.75,2026-04-23,PAREX 2026 - 13/02/2026
9901222,,Eco-Contribution REP0.1222,PCE,0.12,2026-04-23,PAREX 2026 - 13/02/2026
9901438,,Eco-Contribution REP0.1438,PCE,0.14,2026-04-23,PAREX 2026 - 13/02/2026
10968,,ADHESIF ST 211 ORANGE 72MM x 33 ML,RLX,3.64,2026-04-23,PAREX 2026 - 13/02/2026
9875,,GRILLE DE VERRE R118 CSTB 50 X 1 M,RLX,41.4,2026-04-23,PAREX 2026 - 13/02/2026
9907500,,Eco-Contribution REP0.75,PCE,0.75,2026-04-23,PAREX 2026 - 13/02/2026
9876,,GRILLE DE VERRE R118 CSTB 50 X 0.5,RLX,21.56,2026-04-23,PAREX 2026 - 13/02/2026
9903500,,Eco-Contribution REP0.35,PCE,0.35,2026-04-23,PAREX 2026 - 13/02/2026
12024,,PROFILE ANGLE 6001 BLANC 2.25 ML,ML,0.78,2026-04-23,PAREX 2026 - 13/02/2026
12025,,PROFILE ANGLE 6001 BLANC 3 ML,ML,0.78,2026-04-23,PAREX 2026 - 13/02/2026
12199,,PROFILE DILATATION 12MM BLANC 3 ML,ML,8.5,2026-04-23,PAREX 2026 - 13/02/2026
13436,,ARRET JONC PVC BLANC AILE PERF 90°,ML,2.55,2026-04-23,PAREX 2026 - 13/02/2026
13755,,ARRET PVC BLANC ENDUIT 6-8MM,ML,2.9,2026-04-23,PAREX 2026 - 13/02/2026
9900055,,Eco-Contribution REP0.0055,PCE,0.01,2026-04-23,PAREX 2026 - 13/02/2026
18654,,CORNIERE ENTOILEE PVC PREM 300X100,ML,1.03,2026-04-23,PAREX 2026 - 13/02/2026
18655,,GOUTTE EAU CLIPSABLE ENTOILEE LEV06,ML,2.06,2026-04-23,PAREX 2026 - 13/02/2026
19836,,CORNIERE AV REP EP.10MM LK-H10,ML,3.09,2026-04-23,PAREX 2026 - 13/02/2026
19841,,CORNIERE AV REP EP.6MM LK-H06,ML,2.78,2026-04-23,PAREX 2026 - 13/02/2026
18062,B.00,MONODECOR GT P1 / 25 Kg,SAC,6.24,2026-04-23,BL 1183318 du 24/03/2026
21925,,BASE DEPOT COLORLITEHYDRO BLAN 20Kg,SEA,,2026-04-23,BL 1182860 du 23/03/2026
16470,,COLORLITE ADTC MEDIUM / 20 Kg,SEA,,2026-04-23,BL 1182860 du 23/03/2026
22011,,BASE SILOFLEX BLANC / 17 KG,SEA,,2026-04-23,BL 1182860 du 23/03/2026
